question,answer,mistake1,mistake2,mistake3
........ Aklın hocası düşüncenin de rehberidir,Terbiye,Tereddüt,yardımlaşma,İstişare
Kıyamet günü müminin mizanında .......... daha ağır bir şey yoktur,Güzel ahlakından,Huyundan,Külfetinden,Fıkhından
İslamiyet özünde .......... dinidir,Hoşgörü,Mülhid,İbaha,Tevil
Peygamber Efendimiz: "Büyüklerini ...... bizden değildir" Buyuruyor,Saymayan,İbana para atmasalar da seven,Bayram olmadan ziyaret etmeyen,Öpmeyen
...... üzerine birbirinize yol gösterin,İyilik ve takva,En uyguna maç kuponu seçme,Rise of Kingdom's da asker göndermek,Hakiki deri kunduracı bulma
Ahde vefa nedir?,Dostluğa önem vermek,Verilen sözleri unutmamak riayet etmek,Bütün tanıdıklarını sevip saymak,Arkadaşına para verip faiziyle geri almak
Adab-I Muaşeret kuralları ile ilgili hangisi yanlıştır?,toplum yapısını oluşturan yazılı kurallardır,temelinde saygı ve düzen yatar,Görgü nezaket terbiye kurallarıdır,Kişilerin davranışlarını doğrudan etkiler
Ahlaki olarak hangi insan cenneti hak eder?,takva sahibi dürüst bir müslüman,İslamiyete mensup olmayıp herkese yardım eden mrbeast,Walter White,İnsanları dolandırmaya çalışan bir adam
Ağaç yaşken eğilir atasözü aşağıdaki hangi kavramla ilgilidir?,Terbiye,Adabı muaşeret,Ahlak,Adap
hastane okul mahkeme otobüs gibi noktalarda sessiz olmak hangi ahlaki kavramla ilgilidir?,Edep,Terbiye,Çöpçatanlık,Adabı muaşeret
Aşağıdaki hareketlerin hangisi ahlak kurallarına uygun bir davranıştır,Messinin müslümanlara ve yardıma muhtaç insanlara yardım etmesi,Ronaldonun kadınlara el kaldırması,Arkadaşının eti cin stoğunu bitirmek,Namaz kılan insanları engellemek




